project_id,project_type,region,industry,budget,team_size,duration_months,stakeholder_engagement_score,risk_score,complexity_score,num_issues,prior_success_rate,success
P0033,Marketing,Asia,Healthcare,530020.1628760134,28,17,37.43701257804385,82.57231091142583,32.39797083570217,6,0.5987601720652255,1
P0034,Marketing,Asia,Technology,554989.7369145273,44,6,55.90180320508967,64.94736063223603,54.18615383937914,4,0.4939484763255118,1
P0035,HR,North America,Retail,284886.66961512144,38,19,67.12700764130061,89.29450265832779,60.70527103943457,3,0.577534390061834,0
P0036,Software,Asia,Retail,503562.722299662,26,16,74.73453965021858,19.696178756028957,87.3374853488905,3,0.7153113926111533,1
P0037,Research,Africa,Healthcare,728568.1115290712,19,7,33.14879414704781,55.198429382714586,34.179278582037696,4,0.16466372214556346,0
P0038,Infrastructure,South America,Healthcare,812671.5845812345,48,21,90.86355244277912,19.538475222392936,37.28269004985506,6,0.476581918342625,1
P0039,Marketing,North America,Technology,124586.0717506677,40,8,80.26963302332753,57.80506537966284,58.30182335008335,7,0.78660242807767,1
P0040,Research,Asia,Manufacturing,255868.6343175256,5,16,70.72127419992073,62.77184917554748,26.7695987546208,3,0.4279173269432095,1
P0041,Research,Europe,Retail,412612.8626547599,41,11,73.9135965074751,60.59608355830566,88.83137241315801,6,0.6339458568780747,1
P0042,Marketing,North America,Manufacturing,482022.3620951602,45,7,71.70594190319471,40.24787551855013,51.34883624360758,6,0.5499754797850978,1
P0043,Marketing,Africa,Finance,502762.75687843276,29,19,95.14655968412924,45.216426679396626,76.46209951490013,7,0.7018756232672212,1
P0044,Marketing,South America,Retail,431095.8650689634,41,3,57.25233445802812,51.43132474438785,50.44685106469767,6,0.8573949927699187,1
P0045,Research,South America,Retail,630440.888015849,40,6,90.33456788207427,64.36197096503368,91.35188841757936,6,0.5462331646409648,0
P0046,Marketing,South America,Manufacturing,767324.5427804119,41,10,78.85411928592683,74.09941294601497,73.44850037790187,2,0.4745162231245046,1
P0047,Software,North America,Technology,246130.3055427771,13,23,92.9432547919092,71.4199293441051,48.34398797174005,0,0.39757912494796643,1
P0048,Marketing,Europe,Healthcare,626079.0875377335,47,14,69.42262419970389,46.18177017223314,66.25948303633703,2,0.8077652290223858,1
P0049,Infrastructure,South America,Healthcare,347421.1744181914,24,11,77.75003962972184,44.62222618890339,37.869481825166595,4,0.44349125895310393,0
P0050,HR,North America,Retail,662915.8290154483,23,20,64.08126522645108,70.79984879659659,39.98759438854119,5,0.4864561930448618,0
P0051,Infrastructure,Europe,Technology,333413.6231801257,27,20,96.28405665135435,44.86365944148536,80.4857316355878,5,0.7925581380701388,1
P0052,Infrastructure,Asia,Technology,458628.5651597012,22,9,54.137031228499865,77.2630620421341,75.39839117059327,8,0.5341338003360395,0
P0053,HR,North America,Healthcare,444954.0201679426,26,14,77.08594964259038,69.43645380345471,59.380834987268535,3,1.0,1
P0054,Marketing,South America,Healthcare,306732.89303640125,27,7,71.51226133381078,53.91690510195363,40.43254444769936,5,0.6512059468627751,1
P0055,Software,Africa,Healthcare,476284.7764894702,32,16,82.0988987187053,43.039738274063225,63.971167257925835,4,0.4048253494045334,1
P0056,Infrastructure,Africa,Finance,544664.0376377596,23,5,44.20688489931669,54.71999513354662,64.65352715827589,5,0.930995675147317,1
P0057,Software,Asia,Technology,453832.15749802813,21,12,60.116523670356955,54.35015811387122,98.91742569655368,10,0.6289874829562361,1
P0058,Software,Europe,Retail,207126.96904839767,19,23,65.80751401299939,33.614712128903946,72.3141749832908,4,0.8713266764366908,0
P0059,Marketing,South America,Manufacturing,652833.0492833721,47,10,69.24821236487124,8.399648783061977,34.317182318200736,9,0.5124668660394589,0
P0060,Marketing,South America,Retail,422406.73248494416,48,18,91.1402116027837,41.08994957198456,89.06768954235402,4,0.3987768213833008,1
P0061,Software,North America,Retail,494797.2668919828,28,6,73.5132209880478,69.68644796953167,55.72022311548982,7,0.6578337287815637,1
P0062,Infrastructure,North America,Healthcare,570284.5240057283,27,19,77.62284666238195,100.0,69.39241578751009,8,0.5733883830657863,1
P0063,Marketing,South America,Retail,542879.8086087358,44,7,75.01685184980538,31.879284109954504,79.4970056939226,1,0.5529086555590612,1
P0064,HR,South America,Retail,636124.2152625883,7,10,70.53841824651549,63.637829792526226,96.93414651472068,12,0.5259353262805406,0
P0065,Infrastructure,South America,Healthcare,504311.7234402226,43,4,89.17677793910948,66.35505391752099,30.21213880701388,6,0.6498767367421511,0
P0066,Research,South America,Retail,433034.95781742077,31,19,72.91134989347461,65.03805236065396,79.53798156074131,2,0.48269038229573136,1
P0067,Research,Africa,Manufacturing,480344.2389501506,15,4,39.47139639061744,21.03972199167512,16.023880867598365,4,0.8243706378853697,1
P0068,Software,South America,Manufacturing,564626.0366500623,41,22,73.64961496192548,19.48949658150522,46.16183860237511,5,0.3496921151619112,0
P0069,Marketing,South America,Finance,551408.8019566556,19,16,76.85129828730676,42.595811543735,60.46615201771739,6,0.9276225499095281,1
P0070,Software,North America,Manufacturing,519215.6622366184,6,10,59.78422513787679,41.07633133570441,22.209185381089384,1,0.5095387361501846,1
P0071,Marketing,Africa,Finance,555819.7086639742,12,13,77.18308245897754,30.66047713741574,59.0457728771604,6,0.4247362664051637,1
P0072,Software,Africa,Manufacturing,292194.22014954017,42,9,53.390207299805326,62.64232202536756,40.42466704277493,4,0.6421135955257171,1
P0073,Software,Europe,Manufacturing,558989.4727075517,24,17,80.22167620535929,52.29066732430928,79.00290941997663,6,0.4697163992771103,0
P0074,Infrastructure,Asia,Manufacturing,585679.0880851944,36,21,75.62876883428078,23.775579796497695,83.96889905663372,4,0.33106291495121315,0
P0075,Software,Africa,Healthcare,427522.0306550939,8,14,93.6098014493505,50.57193553436688,91.60465174701642,3,0.9137418022021859,1
P0076,Research,Europe,Technology,620074.7362648959,16,5,72.68911906640027,79.53080699451792,87.60182708294903,5,0.5948891858017109,1
P0077,Research,Africa,Finance,397139.3619817483,21,4,74.13287316202796,84.33530960628774,90.75223120148083,5,0.9902068596040038,1
P0078,HR,South America,Technology,305524.73487787566,47,7,47.31106748741776,60.076313911791104,16.922415105768536,6,0.3525316709105907,1
P0079,Marketing,Africa,Finance,411685.4695689806,46,22,70.13937628796369,68.32655349404963,66.92976951795985,5,0.8216365633475033,1
P0080,Infrastructure,Africa,Finance,391881.4371595342,42,7,77.25838475862835,47.9431167372786,59.46411306728673,7,0.7678369735432624,1
P0081,Infrastructure,Europe,Finance,449823.87404648797,35,11,73.0928647304399,56.047976884764495,44.29293714975894,9,0.8218520404445848,1
P0082,HR,Asia,Manufacturing,831828.6964077028,36,19,86.67981570715968,43.93936718003941,59.305933599402195,10,0.6179216319855217,1
P0083,Research,Asia,Healthcare,526912.5219246903,25,13,97.31170565073035,44.94628623998072,67.8416905940174,4,0.2614086371609229,1
P0084,Marketing,Africa,Manufacturing,213184.52583727095,40,20,75.95257998773208,56.324001524091216,58.67219191813727,5,0.7897879979675188,1
P0085,Research,South America,Manufacturing,571550.557909261,17,23,35.846309528505884,44.3211637823493,68.0238443265378,6,0.45631854688616047,0
P0086,Research,Europe,Finance,535921.6192558844,37,20,58.26973544638589,41.057070752321735,48.27885796258751,5,0.7117481505223683,1
P0087,HR,Africa,Finance,547157.5241082271,39,9,69.96874303869724,33.926508640605384,92.78233610888135,5,0.713796615837055,1
P0088,Research,Africa,Finance,255274.87679237532,37,8,93.71431442354803,38.26871840874563,56.049295486060636,3,0.8062125827976107,1
P0089,Research,Africa,Healthcare,684150.3488709938,27,14,51.855384719631914,63.89995801553749,98.9308567502953,5,0.4018615222724593,1
P0090,Software,South America,Finance,149664.09137500578,27,21,62.51054140642004,51.459935119467154,75.60156359433165,5,0.7007472092424851,0
P0091,Research,North America,Healthcare,326487.5494495916,6,11,46.93229011106694,76.20146188875705,60.78327808723718,7,0.09699230949299853,1
P0092,HR,Asia,Healthcare,540108.8471107854,20,9,74.8254670929402,39.85753879886819,55.272905258220085,7,1.0,0
P0093,HR,South America,Technology,380069.1618150974,25,4,75.27321938238833,18.37484858161038,60.72220350660256,3,0.7451533646326065,1
P0094,Marketing,Europe,Manufacturing,303158.0921991621,9,21,46.560178221008826,38.74799436692615,47.968326371714475,5,0.4460462244238246,0
P0095,Software,South America,Manufacturing,269855.20604233124,40,8,83.68652873888749,29.120543200034838,55.82079025335939,7,0.59402190521954,1
P0096,HR,Europe,Healthcare,568630.6019222345,17,23,52.096046345185066,58.32472733855191,81.52366642660641,2,0.32241078788669203,0
P0097,HR,South America,Retail,321041.00676346454,22,10,69.3986723101517,58.856127620418306,84.11853615233176,4,0.6930090922030364,0
P0098,HR,North America,Healthcare,486854.2613275284,44,23,72.29076848829743,49.63301958191787,86.23567800415151,6,0.59397690657998,1
P0099,Software,Asia,Finance,379626.0900182529,40,13,89.48216987270578,37.78220216862822,83.89063749012888,4,0.6059558526469248,0
P0100,Software,North America,Healthcare,370792.4446464884,45,11,56.793070527663915,49.45683133191848,71.48616881676968,4,0.7663256615328937,1
P0101,Research,Europe,Technology,375644.3812470188,44,16,73.0255083987482,91.12414259880644,37.93583268556634,3,0.6614813395618201,1
P0102,Software,South America,Finance,819341.98336184,25,10,80.33017035528138,57.4499141958,91.98244670298752,2,0.43430744620645434,1
P0103,HR,Europe,Healthcare,559953.1927628962,31,20,60.22964659312257,50.6095770053133,30.161277070572506,9,0.47552436100183937,1
P0104,Software,South America,Retail,446703.21708230994,39,12,79.15366563407119,24.129285128126728,81.55907790211515,10,0.7653988778234635,0
P0105,Marketing,Asia,Retail,456861.34708247177,8,22,55.876157239740316,36.45048686005674,73.43494582154582,2,0.5212037273395157,1
P0106,Software,South America,Retail,415362.86020139174,20,22,72.76826954795555,91.23007153272795,84.16732461186285,5,0.5659630754950142,0
P0107,HR,South America,Technology,328746.6328799742,37,20,67.09510811080423,38.34726251401097,56.57501649125829,7,0.7700187978633617,0
P0108,HR,North America,Manufacturing,288376.3252868187,17,13,52.38294209849925,52.81772493822408,24.63121268874297,6,0.561577789455712,1
P0109,Infrastructure,South America,Healthcare,514985.83158536145,40,8,72.18942414569726,44.51543285890938,40.013744846997255,2,0.7772660392123178,0
P0110,Infrastructure,North America,Retail,392326.49209224165,40,13,62.734585835914665,52.032885753790204,37.37947217016114,3,0.6494154755612607,1
P0111,HR,Europe,Healthcare,265618.1214670186,41,23,62.06420983980558,65.88529359243654,34.914211536615014,6,0.5146485766235291,1
P0112,Software,North America,Retail,426203.99462913204,47,11,49.05056716317659,54.786169336406914,88.5864852542571,5,0.5598297043418761,0
P0113,Marketing,Africa,Manufacturing,503119.0561513112,14,5,59.07995588156298,37.080716417509294,44.016159866994926,4,0.5279053191590808,1
P0114,Infrastructure,South America,Healthcare,774289.0419597495,7,10,100.0,34.770756691621,29.6772835979356,4,0.32851940804275775,1
P0115,Research,South America,Finance,780994.6664326319,13,17,86.20072098571973,0.0,81.26749699141862,5,1.0,1
P0116,HR,South America,Technology,650524.7680329296,23,11,60.58125216102876,50.48438913345516,88.24441110830858,8,0.6065448983081415,1
P0117,Software,South America,Healthcare,421400.51398169657,39,11,51.14183087713694,53.36921952539229,86.3519507121592,7,0.4001395535410178,0
P0118,Infrastructure,North America,Retail,628563.7995480534,22,13,67.46648829538843,74.34317041650993,90.42632103844903,7,0.5070765405403214,1
P0119,Software,South America,Manufacturing,466361.72618636454,29,17,61.087348769050635,29.993373507888506,46.44510058950297,2,0.744722117445775,1
P0120,Infrastructure,Asia,Finance,443100.5120242507,42,16,52.919980922936304,52.816568530554996,82.01195213522621,4,0.6663960661138029,1
P0121,Software,Asia,Technology,581130.3833722019,32,22,83.2712658214497,50.77731124097127,63.086316632671725,6,0.5760254905154253,1
P0122,Software,South America,Finance,611810.6296018102,45,6,56.71126006061081,42.857952603845206,75.88766835958354,7,0.6706785675193816,0
P0123,Research,Africa,Technology,758277.6744416498,13,11,68.73610829748243,69.5039525956486,70.0218833987969,8,1.0,1
P0124,Research,North America,Retail,710234.860627299,32,6,86.6358107189738,44.868241396356524,11.944921302006257,6,0.4515058828603903,1
P0125,Infrastructure,Asia,Technology,466970.80594880634,44,16,38.98217910346011,19.905592519379955,75.20111927379205,2,0.8168959166146141,1
P0126,Infrastructure,Asia,Finance,383127.2522107554,45,19,67.08502681869507,43.618921286667636,44.079482863930224,6,0.3244598453766295,1
P0127,HR,Africa,Retail,262821.39469518,49,9,83.42557471114173,66.21407310699988,70.70346942098197,3,0.7175859485468783,1
P0128,Research,South America,Finance,576788.6136543913,33,11,67.47537649056896,66.17971030065952,66.10639559094132,3,0.5397489529346398,0
P0129,HR,Europe,Retail,508752.6506428216,44,4,58.828236899102095,49.335400187110785,55.83766285454921,3,0.6319712783994801,1
P0130,Software,South America,Retail,403065.90352342953,39,15,96.62966338914268,31.12298589152565,38.10826920894142,9,0.9171292985771465,1
P0131,Infrastructure,South America,Retail,439367.4482039585,5,3,71.94116887413396,46.910689622640476,68.61145344188098,2,0.8547280664303292,1
P0132,Software,Africa,Healthcare,540780.9744155025,42,3,87.3716627203645,50.5590291048892,68.36374156935497,2,0.5702944895276735,1
P0133,Marketing,Africa,Retail,584137.9171911858,41,12,65.56779522956259,40.50452709032584,14.265641035690109,5,1.0,1
P0134,HR,Asia,Technology,659335.1495524405,49,21,62.98848484262545,50.60991009507196,33.55801360110284,7,0.495619637163369,0
P0135,Marketing,South America,Healthcare,665143.9452497857,23,7,99.37521181330891,36.12263358383964,69.09943781201946,7,0.46429413292705146,0
P0136,Software,Europe,Manufacturing,363595.28455390804,36,8,70.43313584723515,14.53935063586237,85.23843001427983,5,0.8112113618132104,0
P0137,Infrastructure,South America,Technology,727628.0163595808,11,15,95.42994299304534,53.26122134858832,59.84541555490524,1,0.3230706758610793,1
P0138,Marketing,Asia,Retail,849986.6606427951,35,18,72.88424011598562,94.7948607985573,69.20141212694875,9,0.8418532221937478,1
P0139,HR,Africa,Manufacturing,678337.0057211964,40,5,80.62455770801596,34.65890986858647,64.23634157948956,3,0.561790462010594,1
P0140,Research,Africa,Retail,392612.4723862201,38,12,75.04240069414061,47.27105073291657,27.64332188883356,5,0.4422118462481859,1
P0141,HR,Africa,Finance,278400.79386407905,17,23,73.86641324290167,41.87075557541277,32.3426604549155,8,0.28701732615614606,1
P0142,Research,Africa,Technology,389179.56969046674,35,16,83.34874498847753,30.714107204872636,78.71763112543431,3,0.7387756889961308,0
P0143,Infrastructure,North America,Retail,527735.1225393466,38,14,54.2055238239954,67.17026306894994,63.02795375786415,6,0.7476160749819302,0
P0144,Infrastructure,Africa,Retail,474724.00535976974,28,14,72.99231913416119,57.64509878289838,43.92045852718527,6,0.7966165410411801,1
P0145,Infrastructure,Asia,Manufacturing,532987.5725908901,40,4,50.108574114297156,62.44414288086804,37.223337644384614,6,0.8549183750587029,1
P0146,Research,South America,Retail,448488.33506180486,5,6,99.47042571953362,70.04170433180818,70.34393669078027,5,0.7006569337633297,0
P0147,Marketing,North America,Technology,616846.9568066002,28,13,33.85167749339788,78.23753037789055,48.981776348902926,3,0.6463296030967965,1
P0148,Software,Europe,Retail,647128.0173706212,11,22,58.86655719712548,69.11415912242165,98.38001786437212,9,0.6624139195589935,1
P0149,HR,South America,Manufacturing,503132.9732443943,19,11,73.46051358578025,63.24962120329032,42.675461039855,8,0.8245727907467615,0
P0150,Research,North America,Finance,667177.4426327689,9,22,86.70922949823492,33.29714196739954,100.0,5,0.561992192999701,0
P0151,Infrastructure,Europe,Retail,843342.123456981,10,10,46.64854981181914,58.95723495503587,67.42188102627844,8,1.0,1
P0152,Infrastructure,Europe,Manufacturing,580271.2153182981,38,19,81.39081908963736,50.53362114221072,71.44185556809843,6,0.4087127246363982,1
P0153,HR,South America,Finance,569516.4608541229,32,12,78.1978394645806,40.200996896789306,69.37211592999184,6,1.0,1
P0154,Marketing,South America,Manufacturing,537126.7874864306,43,16,72.25608157264246,74.89376092730194,21.676656406682426,6,0.4392055202386044,0
P0155,Infrastructure,Africa,Finance,515884.16796728515,15,21,78.76619470708727,13.511182266470747,44.76708187723929,9,0.4687381217539467,1
P0156,Research,North America,Technology,109367.92150592984,28,10,72.98422220194742,36.94084017484378,84.26762799809987,4,0.5665607713855296,1
P0157,Software,North America,Retail,603535.5200570408,41,12,31.624474251143468,38.35776812419144,48.2392284308225,1,0.4812409355487351,0
P0158,Research,North America,Retail,588666.2920307814,34,7,90.95272302719992,67.27193318493181,71.59286458645295,8,0.6170636285130048,0
P0159,Marketing,Europe,Finance,616291.9094443134,26,19,49.069994106208064,18.230709191648838,75.85869706986215,5,0.8163884119481698,1
P0160,Software,Europe,Retail,436604.9658917663,45,11,80.1489702492377,24.017667113978657,35.55576382654157,9,0.45750116143835245,1
P0161,Research,Asia,Healthcare,661309.0168469115,8,21,75.44679012507036,56.12819709970425,96.84958089134423,4,0.6374328040972324,0
P0162,Research,Europe,Technology,382696.42023388407,18,5,70.04142753825904,23.090303274955556,73.64119017153601,2,0.3546248930972421,1
P0163,Software,Africa,Finance,539696.6007681934,37,20,84.22182158650968,86.2668790396555,46.85135684893724,3,0.877451482210519,1
P0164,Marketing,Africa,Manufacturing,355436.1610684084,14,11,55.642736276574354,23.433700970698986,61.5494743747446,6,0.30069414898198416,1
P0165,Software,Asia,Healthcare,642266.9524792304,26,13,50.71067839427761,26.281779815343075,66.89794016499839,5,1.0,0
P0166,Marketing,Europe,Finance,622816.6465632292,45,6,93.06897877618829,93.10665496381235,40.44875749054626,2,0.7195463416227248,1
P0167,HR,South America,Finance,506566.96440708335,13,6,66.16238294645362,65.15810792222024,89.18214314603956,7,0.6700683558456794,0
P0168,Marketing,North America,Technology,502371.13161677594,21,13,68.69866374176584,24.154746097887628,73.79415610490389,5,0.44324686688272064,1
P0169,Infrastructure,Asia,Retail,288931.4007410558,37,13,64.4219025871689,15.624982142756707,85.49978238600087,6,0.2646183052061491,0
P0170,Marketing,Europe,Finance,523074.78741173854,29,9,81.49701052167394,34.28027934730035,32.3791079369245,8,0.7076648044793853,1
P0171,Infrastructure,Asia,Healthcare,396442.00607919856,28,6,70.06139511513184,36.38097848386492,41.96436826598359,2,0.8975454071316533,0
P0172,Infrastructure,Asia,Retail,468660.7269680634,8,7,89.01883199997832,87.39230661009034,20.286756872013697,5,0.7122804099695486,1
P0173,Software,Europe,Healthcare,465530.0554137209,49,5,57.2289034860953,56.165216811249834,16.86798606734424,5,0.526554201933901,1
P0174,Research,Africa,Finance,592934.970826716,41,8,76.1609599490364,36.47391590566748,79.26489974773088,5,0.8237763240596798,1
P0175,Infrastructure,South America,Technology,293357.37488686445,19,10,61.52838993743587,49.219915987626926,64.44868273939856,7,0.528230716617416,0
P0176,Software,Africa,Retail,365698.05164554634,30,19,63.87848741259669,40.542971553007135,34.311392511848005,4,1.0,1
P0177,Infrastructure,South America,Finance,637312.5531845412,5,18,86.10066883474747,43.09213690659905,54.502024842287675,6,0.9515167544463343,1
P0178,Infrastructure,South America,Finance,599548.4041906511,49,20,76.95499857521322,74.00157912853723,50.161951049875896,5,0.4751309220573552,1
P0179,Marketing,South America,Manufacturing,480431.0196440952,36,13,64.0704178384038,56.31471797754714,66.1125846091631,3,0.6207877668297798,1
P0180,Infrastructure,Africa,Retail,700754.5597169579,21,5,53.05524655599278,71.48494467889321,90.52372634723324,8,0.6381271182530048,0
P0181,Infrastructure,South America,Healthcare,746080.0356338555,20,10,60.16631504005632,24.8932776862768,67.06254475995753,8,0.713137415933878,1
P0182,Software,Asia,Technology,286699.02126387006,49,23,86.57591094704364,29.733683288045484,74.02372652140747,7,0.41011513465484717,1
P0183,Software,Africa,Retail,450104.40224735613,9,16,77.37313181315965,25.293123657079903,83.29330417003143,9,0.8322797574862812,0
P0184,Infrastructure,Asia,Retail,867418.969843715,20,15,52.35545114615097,74.2959411378877,48.048627284660675,4,0.7244139980612098,0
P0185,Marketing,Europe,Technology,480772.1795621349,14,21,79.89581799484591,52.89775666193783,60.478060865699106,8,0.3058389836653465,0
P0186,Research,Europe,Manufacturing,481855.72844199167,42,16,86.86938248673793,48.67713430252666,46.93816677299327,7,0.3376634499066432,1
P0187,Research,North America,Manufacturing,513961.980880917,21,16,61.98530496585738,60.46158008004789,86.61734360734334,8,0.677264663562312,1
P0188,Research,Asia,Manufacturing,488907.86515874113,34,19,63.22510785760566,68.63142537362128,65.225333682638,7,0.6577307861614968,1
P0189,HR,South America,Manufacturing,551460.0513388903,34,21,74.62675162497273,78.68933738692107,65.14261304837243,3,0.8463968942539272,0
P0190,Software,South America,Technology,319519.87169162836,34,12,54.36933381635345,34.600078676050856,34.07766671500211,4,0.7762366686084013,1
P0191,Infrastructure,Asia,Manufacturing,339616.75020653615,42,12,75.46479280941925,26.686568194226705,60.36083297268198,4,0.7830780551120323,1
P0192,Infrastructure,North America,Retail,594487.2293069441,16,10,39.40852752520102,28.418489998640474,71.78278718055945,1,0.9033625734259747,0
P0193,Infrastructure,Asia,Retail,755404.4732521905,16,14,68.87883747774751,71.81447172299669,85.81030837741118,4,0.7850796181593449,0
P0194,Software,Africa,Technology,514146.2868393449,18,6,95.91224107046482,32.43459852653268,79.23913239110757,5,0.6426906038559621,1
P0195,Software,Asia,Healthcare,392312.16638785973,35,7,66.54213062229624,60.39998151595621,40.44325599257429,4,0.706963467269182,0
P0196,Research,North America,Finance,392817.94872936944,12,20,66.0744239848266,64.02511118353453,63.63218132507019,2,0.7484305608752914,1
P0197,Infrastructure,North America,Retail,421062.82152238686,34,20,90.82506667312671,38.012670123193615,37.799928562281465,5,0.6112672573624242,1
P0198,Software,South America,Technology,383391.4886211643,36,17,80.39987035498902,80.6379983308909,56.15401931941836,6,0.9824818819833597,1
P0199,Infrastructure,Africa,Retail,611428.9219365848,10,20,71.70804100464525,72.43811421964269,43.631921389426324,3,0.40068145273540967,1
P0200,Marketing,South America,Technology,736717.7086343276,42,4,84.78174528422828,77.65283871328386,93.20084978966966,7,0.8779928137208405,1
P0201,Marketing,South America,Finance,549314.0450514269,28,18,70.4170437360991,22.23219718456611,55.65432606126353,4,0.7698021826553106,1
P0202,Infrastructure,North America,Healthcare,302957.72808814,23,5,82.80712843463603,37.01892559143255,53.06693277139779,9,0.4743231818009723,1
P0203,Infrastructure,Asia,Healthcare,652785.9954779061,26,23,74.3671646235406,54.58628256869294,94.25335425677139,5,0.6245686877080395,0
P0204,Research,South America,Technology,786412.7978440241,7,10,82.14833982491675,16.902251275434075,40.79907409441073,3,0.3739592550652152,1
P0205,HR,Africa,Retail,522336.5113769558,5,10,59.808386156024305,51.440737225674894,55.755820601976964,3,0.6668352834489795,0
P0206,Infrastructure,North America,Healthcare,213828.86631839134,35,22,57.09422483830747,50.46659017294354,50.64801319010008,7,0.628168593311483,1
P0207,Software,North America,Healthcare,542418.3044725514,18,15,65.63933884970172,40.97682283182002,71.0348159982184,7,0.6380847779850115,1
P0208,Infrastructure,Africa,Healthcare,327901.704852749,22,6,65.31367312757426,84.46930680134206,69.98171130931885,2,0.7220432339178445,0
P0209,Software,Asia,Technology,610587.8799414797,48,10,53.62583208057688,37.263471005533205,22.845602772845773,7,0.6932380684694239,1
P0210,Research,Africa,Healthcare,272829.45362288493,28,17,74.82389817008858,57.070957263973526,54.881388766604935,11,0.6303755219227879,0
P0211,Research,South America,Retail,472123.1371710879,22,17,74.64998474748333,97.00411600011444,6.713353578511061,3,0.9015267117827368,1
P0212,Marketing,North America,Manufacturing,723235.2975304214,17,12,47.97495157698857,51.46869038482238,53.27242673779192,5,0.4569956263939514,1
